id;nombre;nivel;regimen;carga_horaria;carrera;es_electiva
1;Análisis Matemático I;1;Anual;5;Ciencias Básicas;no
2;Álgebra y Geometría Analítica;1;Anual;5;Ciencias Básicas;no
3;Física I;1;Anual;5;Ciencias Básicas;no
4;Inglés I;1;Anual;2;Ciencias Básicas;no
5;Lógica y Estructuras Discretas;1;Cuatrimestral;3;Ingeniería en Sistemas;no
6;Algoritmo y Estructura de Datos;1;Anual;5;Ingeniería en Sistemas;no
7;Arquitectura de Computadoras;1;Cuatrimestral;4;Ingeniería en Sistemas;no
8;Sistemas y Proceso de Negocios;1;Cuatrimestral;3;Ingeniería en Sistemas;no
9;Análisis Matemático II;2;Anual;5;Ciencias Básicas;no
10;Física II;2;Anual;5;Ciencias Básicas;no
11;Ingeniería y Sociedad;2;Cuatrimestral;2;Ciencias Básicas;no
12;Inglés II;2;Anual;2;Ciencias Básicas;no
13;Sintaxis y Semántica de los Lenguajes;2;Cuatrimestral;4;Ingeniería en Sistemas;no
14;Paradigmas de Programación;2;Cuatrimestral;4;Ingeniería en Sistemas;no
15;Sistemas Operativos;2;Anual;4;Ingeniería en Sistemas;no
16;Análisis de Sistemas de Información;2;Anual;6;Ingeniería en Sistemas;no
17;Probabilidad y Estadística;2;Cuatrimestral;3;Ciencias Básicas;no
18;Economía;3;Cuatrimestral;3;Ciencias Básicas;no
19;Base de Datos;3;Cuatrimestral;4;Ingeniería en Sistemas;no
20;Desarrollo de Software;3;Cuatrimestral;4;Ingeniería en Sistemas;no
21;Comunicación de Datos;3;Anual;4;Ingeniería en Sistemas;no
22;Análisis Numérico;3;Cuatrimestral;3;Ingeniería en Sistemas;no
23;Diseño de Sistemas de Información;3;Anual;6;Ingeniería en Sistemas;no
24;Seminario Integrador (Analista);3;Cuatrimestral;4;Ingeniería en Sistemas;no
25;Legislación;4;Cuatrimestral;2;Ingeniería en Sistemas;no
26;Ingeniería y Calidad de Software;4;Cuatrimestral;3;Ingeniería en Sistemas;no
27;Redes de Datos;4;Anual;4;Ingeniería en Sistemas;no
28;Investigación Operativa;4;Anual;4;Ingeniería en Sistemas;no
29;Simulación;4;Cuatrimestral;3;Ingeniería en Sistemas;no
30;Tecnologías Para la Automatización;4;Cuatrimestral;3;Ingeniería en Sistemas;no
31;Administración de Sistemas de Información;5;Anual;6;Ingeniería en Sistemas;no
32;Inteligencia Artificial;5;Cuatrimestral;3;Ingeniería en Sistemas;no
33;Ciencia de Datos;5;Cuatrimestral;3;Ingeniería en Sistemas;no
34;Sistemas de Gestión;5;Cuatrimestral;3;Ingeniería en Sistemas;no
35;Gestión Gerencial;5;Cuatrimestral;3;Ingeniería en Sistemas;no
36;Seguridad en los Sistemas de Información;5;Cuatrimestral;3;Ingeniería en Sistemas;no
37;Proyecto Final;5;Anual;6;Ingeniería en Sistemas;no
38;Backend de Aplicaciones;3;Cuatrimestral;4;Ingeniería en Sistemas;si
39;Green Software;4;Cuatrimestral;3;Ingeniería en Sistemas;si
40;Gestión Industrial de la Producción;4;Cuatrimestral;3;Ingeniería en Sistemas;si
41;Gestión de la Mejora de los Procesos;4;Cuatrimestral;3;Ingeniería en Sistemas;si
42;Desarrollo y Operaciones devOPS;4;Cuatrimestral;3;Ingeniería en Sistemas;si
43;Desarrollo de Aplicaciones Con Objetos;3;Cuatrimestral;3;Ingeniería en Sistemas;si
44;Comunicación Multimedial en el Desarrollo de Sistemas de Información;4;Cuatrimestral;3;Ingeniería en Sistemas;si
45;Arquitectura de Software;4;Cuatrimestral;3;Ingeniería en Sistemas;si
46;Desarrollo de Tecnología Blockchain;5;Cuatrimestral;3;Ingeniería en Sistemas;si
47;Creatividad e Innovación en Ingeniería;5;Cuatrimestral;3;Ingeniería en Sistemas;si
48;Auditorías de Si/Ti;5;Cuatrimestral;3;Ingeniería en Sistemas;si
49;Gerenciamiento Estratégico;5;Cuatrimestral;3;Ingeniería en Sistemas;si
50;Consultoría en Negocios Digitales;5;Cuatrimestral;3;Ingeniería en Sistemas;si
51;Emprendimientos Tecnológicos;5;Cuatrimestral;3;Ingeniería en Sistemas;si
52;Decisiones en Escenarios Complejos;5;Cuatrimestral;3;Ingeniería en Sistemas;si
53;Testing de Software;5;Cuatrimestral;3;Ingeniería en Sistemas;si
54;Seguridad en el Desarrollo de Software;5;Cuatrimestral;3;Ingeniería en Sistemas;si
55;Integración de Aplicaciones en Entorno Web;5;Cuatrimestral;3;Ingeniería en Sistemas;si
56;Ingeniería de Software de Fuentes Abiertas/Libres;5;Cuatrimestral;3;Ingeniería en Sistemas;si
1;Análisis Matemático I;1;Anual;5;Ciencias Básicas;no
2;Química General;1;Anual;5;Ciencias Básicas;no
3;Sistemas de Representación;1;Anual;3;Ciencias Básicas;no
4;Informática I;1;Anual;3;Ingeniería Industrial;no
5;Pensamiento Sistémico;1;Anual;3;Ingeniería Industrial;no
6;Física I;1;Anual;5;Ciencias Básicas;no
7;Álgebra y Geometría Analítica;1;Anual;5;Ciencias Básicas;no
8;Ingeniería y Sociedad;1;Anual;2;Ciencias Básicas;no
9;Análisis Matemático II;2;Anual;5;Ciencias Básicas;no
10;Administración General;2;Anual;4;Ingeniería Industrial;no
11;Probabilidad y Estadística;2;Anual;3;Ciencias Básicas;no
12;Ciencias de los Materiales;2;Anual;4;Ingeniería Industrial;no
13;Física II;2;Anual;5;Ciencias Básicas;no
14;Economía General;2;Anual;3;Ciencias Básicas;no
15;Informática II;2;Anual;3;Ingeniería Industrial;no
16;Inglés I;2;Anual;2;Ciencias Básicas;no
17;Costos y Presupuestos;3;Anual;4;Ingeniería Industrial;no
18;Estudio del Trabajo;3;Anual;4;Ingeniería Industrial;no
19;Comercialización;3;Anual;3;Ingeniería Industrial;no
20;Termodinámica y Máquinas Térmicas;3;Anual;4;Ingeniería Industrial;no
21;Estática y Resistencia de los Materiales;3;Anual;4;Ingeniería Industrial;no
22;Mecánica de los Fluidos;3;Anual;3;Ingeniería Industrial;no
23;Economía de la Empresa;3;Anual;3;Ingeniería Industrial;no
24;Electrotecnia y Máquinas Eléctricas;3;Anual;5;Ingeniería Industrial;no
25;Análisis Numérico y Cálculo Avanzado;4;Anual;3;Ingeniería Industrial;no
26;Seguridad, Higiene e Ingeniería Ambiental;4;Anual;3;Ingeniería Industrial;no
27;Investigación Operativa;4;Anual;4;Ingeniería Industrial;no
28;Procesos Industriales;4;Anual;4;Ingeniería Industrial;no
29;Mecánica y Mecanismos;4;Anual;3;Ingeniería Industrial;no
30;Evaluación de Proyectos;4;Anual;4;Ingeniería Industrial;no
31;Planificación y Control de la Producción;4;Anual;4;Ingeniería Industrial;no
32;Diseño de Producto;4;Anual;2;Ingeniería Industrial;no
33;Inglés II;5;Anual;2;Ciencias Básicas;no
34;Instalaciones Industriales;5;Anual;3;Ingeniería Industrial;no
35;Legislación;5;Anual;2;Ciencias Básicas;no
36;Mantenimiento;5;Anual;3;Ingeniería Industrial;no
37;Manejo de Materiales y Distribución de Planta;5;Anual;3;Ingeniería Industrial;no
38;Comercio Exterior;6;Anual;3;Ingeniería Industrial;no
39;Relaciones Industriales;6;Anual;3;Ingeniería Industrial;no
40;Ingeniería en Calidad;6;Anual;3;Ingeniería Industrial;no
41;Control de Gestión;6;Anual;3;Ingeniería Industrial;no
42;Proyecto Final;6;Anual;6;Ingeniería Industrial;no
43;Gestión Ambiental;4;Cuatrimestral;2;Ingeniería Industrial;si
44;Gestión de Proyectos;4;Cuatrimestral;2;Ingeniería Industrial;si
45;Gestión Emprendedora;4;Cuatrimestral;2;Ingeniería Industrial;si
46;Logística;4;Cuatrimestral;2;Ingeniería Industrial;si
47;Política Económica;4;Cuatrimestral;2;Ingeniería Industrial;si
48;Energías Renovables;4;Cuatrimestral;2;Ingeniería Industrial;si
49;Gestión del Conocimiento, la Innovación y Economía Crítica;4;Cuatrimestral;2;Ingeniería Industrial;si
50;Coaching de Formadores;4;Cuatrimestral;2;Ingeniería Industrial;si
51;Simulación;4;Cuatrimestral;2;Ingeniería Industrial;si
52;Análisis de Datos I;4;Cuatrimestral;3;Ingeniería Industrial;si
53;Sustentabilidad y Nuevas Economías;4;Cuatrimestral;2;Ingeniería Industrial;si
54;CNH Cátedra In Situ;4;Cuatrimestral;2;Ingeniería Industrial;si
1;Análisis Matemático I;1;Anual;5;Ciencias Básicas;no
2;Química General;1;Anual;5;Ciencias Básicas;no
3;Álgebra y Geometría Analítica;1;Anual;5;Ciencias Básicas;no
4;Física I;1;Anual;5;Ciencias Básicas;no
